"class","homophily","ratio_mean","ratio_se","attitude_mean","attitude_se","bias_mean_m","bias_iov_m","realized_seg_mean","raw_share_mean"
"low",4.75,1.48987749617005,0.00336849034476605,1.40954394887731,0.00298943459188331,-96.9160131057598,-0.132675845829696,0.969961792867054,0.979982222222222
"low",5,1.47322053176764,0.00311930723898095,1.40241232183011,0.00295640020107251,-97.2655494826377,-0.138641856077203,0.975435086303821,0.983626666666667
"mid",0,2.91684194878032,0.00653472812617658,1.0568745296603,0.00500304856944285,-0.318044853379593,0.00568574149002,-0.00483740169297186,0.330266666666667
"mid",0.25,2.78655413406229,0.0066583167639106,1.01186723761342,0.00508435326052413,0.23312931681579,-0.012206016472299,0.0799650984790399,0.386746666666667
"mid",0.5,2.6608559489622,0.00676520004501926,0.955541566168514,0.00504644538113194,-0.0102882578341669,-0.0249158285114148,0.162007017024231,0.441475555555556
"mid",0.75,2.51580226730987,0.00658794458063677,0.910231213642411,0.00509738421005646,-0.399473496043126,-0.0415526007566576,0.252370929571725,0.501724444444444
"mid",1,2.37253734727774,0.00632895193815038,0.843799300528397,0.0051097839277921,0.217906241820812,-0.0569919921357956,0.340644517415725,0.560542222222222
"mid",1.25,2.23695441081793,0.00603547077228693,0.790188285121912,0.00511287331587125,-0.0565603132593017,-0.070811234396407,0.422814499308776,0.615324444444444
"mid",1.5,2.08912151543441,0.00555473073332263,0.723143255219127,0.00505616922959589,0.356611763984454,-0.0864852758584069,0.50638681434832,0.671022222222222
"mid",1.75,1.96886858691628,0.00515759719834035,0.661002424728116,0.00502714108985082,-0.135548725578508,-0.098992220581782,0.580736439808412,0.720595555555556
"mid",2,1.85281934011083,0.0045219888317907,0.599077168612422,0.00502664771952705,0.298892834705552,-0.111530561932588,0.651098170056412,0.767475555555556
"mid",2.25,1.76260718921384,0.00411631530662005,0.548717747953468,0.00492900390393467,0.37314141363989,-0.121152429890346,0.711321004667329,0.807608888888889
"mid",2.5,1.68194379899151,0.00371470786700624,0.503254720745266,0.00478620800598126,0.0636527975675225,-0.1310478717082,0.763254545810304,0.842231111111111
"mid",2.75,1.63130496900887,0.00339087381897417,0.477769603560673,0.00472373253187902,-0.0113409700784129,-0.13688482141357,0.808133333279001,0.872142222222222
"mid",3,1.57283864860493,0.00294930857722214,0.44945807566667,0.00470099863180586,-0.425962943551016,-0.145145610097752,0.845678896242579,0.897164444444444
"mid",3.25,1.54436321979097,0.00279662159467689,0.426103973025977,0.00475778784707503,-0.222927658711603,-0.149946317964564,0.875304739727897,0.916897777777778
"mid",3.5,1.49237255745504,0.00239420491024173,0.389704613929955,0.00453497154797108,0.645650725584847,-0.154880777444614,0.901742706703779,0.934524444444444
"mid",3.75,1.48010112737944,0.00231817394990113,0.390594833917007,0.0045621580029732,-0.30736880431064,-0.159485268904551,0.922278476183942,0.948213333333333
"mid",4,1.45459137377736,0.00206036138667156,0.366085547501744,0.00449740698439732,0.382969115579087,-0.160760479079748,0.93654821130508,0.957715555555556
"mid",4.25,1.43832208076382,0.00193632794785959,0.35488948498035,0.00450683572764108,0.334436943593977,-0.163531772296065,0.950750233065423,0.967182222222222
"mid",4.5,1.42607877426749,0.00177135801368322,0.347906179394969,0.00451216232008765,0.346078845476528,-0.16413768023623,0.960732276675253,0.973831111111111
"mid",4.75,1.42448566892631,0.00175904640617055,0.350480658253202,0.00457304083838311,0.0782764642298774,-0.165930000802197,0.969961792867054,0.979982222222222
"mid",5,1.42128406914431,0.00167738705759937,0.34098685685341,0.00464862774406491,0.83303080806689,-0.165092370024774,0.975435086303821,0.983626666666667
